district,region_name,rate,boot low,boot high,coverage,unprotected rate,nets
Nabdam,Upper East Region,7.1336,5.4212,9.1802,0.7956,1.4583,21347.0
Daffiama-Bussie-Issa,Upper West Region,4.2354,3.2795,5.2811,0.6976,1.2808,18412.0
Wa,Upper West Region,4.2755,3.418,5.1498,0.6976,1.2929,60663.0
Lambussie-Karni,Upper West Region,4.1912,3.378,5.0903,0.6976,1.2674,28737.0
Sissala East,Upper West Region,3.7571,2.7476,4.9927,0.6976,1.1362,28192.0
Nadowli-Kaleo,Upper West Region,3.3745,2.7,4.1684,0.6976,1.0205,27554.0
Pusiga,Upper East Region,5.07,4.1745,5.982,0.7956,1.0364,26028.0
Lawra,Upper West Region,3.2162,2.4664,4.0098,0.6976,0.9726,23366.0
Sissala West,Upper West Region,3.1351,2.4338,3.9912,0.6976,0.9481,20625.0
Nandom,Upper West Region,2.8899,2.2633,3.6459,0.6976,0.8739,17598.0
Jirapa,Upper West Region,3.0026,2.4477,3.6055,0.6976,0.908,35095.0
Kasena-Nankana West,Upper East Region,4.2079,3.2006,5.3114,0.7956,0.8602,26650.0
Bolgatanga,Upper East Region,4.0222,3.1756,4.9764,0.7956,0.8222,47379.0
Wa West,Upper West Region,2.6824,2.0845,3.334,0.6976,0.8112,28863.0
Builsa South,Upper East Region,3.8935,3.0267,4.7391,0.7956,0.7959,12704.0
Wa East,Upper West Region,2.4889,1.9555,3.106,0.6976,0.7527,23765.0
Garu-Tempane,Upper East Region,3.7321,2.9709,4.5947,0.7956,0.7629,43193.0
Bongo,Upper East Region,3.5313,2.5503,4.5834,0.7956,0.7219,26668.0
Bawku,Upper East Region,3.4366,2.8239,4.1118,0.7956,0.7025,30149.0
Builsa North,Upper East Region,3.1729,2.3636,4.0578,0.7956,0.6486,15980.0
Bawku West,Upper East Region,3.1594,2.4918,3.915,0.7956,0.6459,26516.0
Tolon,Northern Region,1.8629,1.3466,2.4108,0.6769,0.602,19592.0
Talensi,Upper East Region,2.8424,2.036,3.7262,0.7956,0.5811,20656.0
Saboba,Northern Region,1.815,1.3128,2.3544,0.6769,0.5865,17608.0
Binduri,Upper East Region,2.8534,2.1987,3.6481,0.7956,0.5833,15696.0
Bole,Northern Region,2.7017,2.0578,3.3712,0.7905,0.5659,15768.0
Chereponi,Northern Region,1.5068,1.1603,1.8796,0.6279,0.5607,13692.0
Tatale-Sangule,Northern Region,1.5844,1.2742,1.9204,0.6769,0.512,13938.0
Kasena-Nankana,Upper East Region,2.2921,1.7697,2.8522,0.7956,0.4685,22455.0
Bunkpurugu-Yunyoo,Northern Region,1.2415,0.956,1.5419,0.6279,0.4619,25317.0
West Gonja,Northern Region,2.0101,1.498,2.5668,0.7905,0.421,7931.0
East Mamprusi,Northern Region,1.0551,0.7891,1.3693,0.6279,0.3926,21445.0
Sawla-Tuna-Kalba,Northern Region,1.9797,1.5865,2.4148,0.7905,0.4147,18543.0
Kumbungu,Northern Region,1.142,0.8929,1.4345,0.6769,0.369,6557.0
Yendi,Northern Region,1.1012,0.8278,1.3873,0.6769,0.3558,19031.0
Zabzugu,Northern Region,1.1468,0.9653,1.347,0.6769,0.3706,10753.0
Nanumba South,Northern Region,0.9808,0.6523,1.3433,0.6769,0.317,13409.0
Mion,Northern Region,1.0169,0.7229,1.3139,0.6769,0.3286,12078.0
Kpandai,Northern Region,1.0886,0.8863,1.3028,0.6769,0.3518,17261.0
Central Gonja,Northern Region,1.5911,1.2537,1.9268,0.7905,0.3333,13060.0
Mamprugu-Moagduri,Northern Region,0.772,0.5547,1.0376,0.6279,0.2872,6084.0
Savelugu-Nanton,Northern Region,0.9168,0.6687,1.1656,0.6769,0.2963,18529.0
Nanumba North,Northern Region,0.8791,0.6687,1.0881,0.6769,0.2841,18077.0
Karaga,Northern Region,0.7584,0.6005,0.926,0.6769,0.2451,8502.0
North Gonja,Northern Region,0.912,0.6429,1.2177,0.7905,0.191,3814.0
West Mamprusi,Northern Region,0.5515,0.4327,0.6803,0.6279,0.2052,11213.0
Gushiegu,Northern Region,0.6079,0.4778,0.7466,0.6769,0.1964,9857.0
Sagnarigu,Northern Region,0.4879,0.3882,0.585,0.6769,0.1577,10417.0
Tamale,Northern Region,0.3699,0.2984,0.4486,0.6769,0.1195,12009.0
East Gonja,Northern Region,0.5628,0.4525,0.6853,0.7905,0.1179,7223.0
